2025-09-03 12:51:08,008 - INFO - INFO - 🚀 Starting Endpoint Security Monitor
2025-09-03 12:51:09,524 - INFO - INFO - ✅ Application initialized successfully. Starting main loop...
2025-09-03 12:51:13,467 - INFO - INFO - Endpoint monitoring started
2025-09-03 12:51:19,839 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.46
2025-09-03 12:51:19,840 - INFO - WARNING - Geo queue full, skipping IP: 172.217.26.46
2025-09-03 12:51:19,842 - INFO - WARNING - Geo queue full, skipping IP: 67.199.150.82
2025-09-03 12:51:19,843 - INFO - WARNING - Geo queue full, skipping IP: 35.212.104.44
2025-09-03 12:51:19,844 - INFO - WARNING - Geo queue full, skipping IP: 142.251.223.194
2025-09-03 12:51:19,846 - INFO - WARNING - Geo queue full, skipping IP: 142.251.223.194
2025-09-03 12:51:19,848 - INFO - WARNING - Geo queue full, skipping IP: 35.244.159.8
2025-09-03 12:51:19,849 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.162
2025-09-03 12:51:19,850 - INFO - WARNING - Geo queue full, skipping IP: 67.199.150.87
2025-09-03 12:51:19,851 - INFO - WARNING - Geo queue full, skipping IP: 35.213.7.90
2025-09-03 12:51:19,853 - INFO - WARNING - Geo queue full, skipping IP: 142.250.67.68
2025-09-03 12:51:19,856 - INFO - WARNING - Geo queue full, skipping IP: 142.250.182.162
2025-09-03 12:51:19,857 - INFO - WARNING - Geo queue full, skipping IP: 141.94.172.236
2025-09-03 12:51:19,858 - INFO - WARNING - Geo queue full, skipping IP: 142.250.193.46
2025-09-03 12:51:19,860 - INFO - WARNING - Geo queue full, skipping IP: 104.18.27.193
2025-09-03 12:51:19,861 - INFO - WARNING - Geo queue full, skipping IP: 162.55.236.224
2025-09-03 12:51:19,862 - INFO - WARNING - Geo queue full, skipping IP: 151.101.66.132
2025-09-03 12:51:19,864 - INFO - WARNING - Geo queue full, skipping IP: 74.125.130.84
2025-09-03 12:51:19,865 - INFO - WARNING - Geo queue full, skipping IP: 74.125.68.188
2025-09-03 12:51:19,866 - INFO - WARNING - Geo queue full, skipping IP: 142.250.192.174
2025-09-03 12:51:19,868 - INFO - WARNING - Geo queue full, skipping IP: 34.160.152.31
2025-09-03 12:51:19,869 - INFO - WARNING - Geo queue full, skipping IP: 172.64.146.152
2025-09-03 12:51:19,871 - INFO - WARNING - Geo queue full, skipping IP: 35.186.253.211
