2025-08-24 19:05:39,129 - Timestamp: 2025-08-24 19:06, Total: 0, Internal: 0, External: 0
2025-08-24 19:05:39,129 - Timestamp: 2025-08-24 19:06, Total: 0, Internal: 0, External: 0
2025-08-24 19:05:49,133 - Timestamp: 2025-08-24 19:06, Total: 128, Internal: 4, External: 37
2025-08-24 19:05:49,133 - Timestamp: 2025-08-24 19:06, Total: 128, Internal: 4, External: 37
2025-08-24 19:05:59,146 - Timestamp: 2025-08-24 19:06, Total: 141, Internal: 8, External: 46
2025-08-24 19:05:59,146 - Timestamp: 2025-08-24 19:06, Total: 141, Internal: 8, External: 46
2025-08-24 19:06:09,166 - Timestamp: 2025-08-24 19:06, Total: 153, Internal: 11, External: 53
2025-08-24 19:06:09,166 - Timestamp: 2025-08-24 19:06, Total: 153, Internal: 11, External: 53
2025-08-24 19:06:19,179 - Timestamp: 2025-08-24 19:06, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:19,179 - Timestamp: 2025-08-24 19:06, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:29,195 - Timestamp: 2025-08-24 19:06, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:29,195 - Timestamp: 2025-08-24 19:06, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:39,216 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:39,216 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:49,239 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:49,239 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:59,258 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:06:59,258 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:09,276 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:09,276 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:19,294 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:19,294 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:29,314 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:29,314 - Timestamp: 2025-08-24 19:07, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:39,322 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:39,322 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:49,338 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:49,338 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:59,347 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:07:59,347 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:09,365 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:09,365 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:19,384 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:19,384 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:29,396 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:29,396 - Timestamp: 2025-08-24 19:08, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:39,415 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:39,415 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:49,428 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:49,428 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:59,445 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:08:59,445 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:09,460 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:09,460 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:19,470 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:19,470 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:29,479 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:29,479 - Timestamp: 2025-08-24 19:09, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:39,494 - Timestamp: 2025-08-24 19:10, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:39,494 - Timestamp: 2025-08-24 19:10, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:49,516 - Timestamp: 2025-08-24 19:10, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:49,516 - Timestamp: 2025-08-24 19:10, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:59,531 - Timestamp: 2025-08-24 19:10, Total: 155, Internal: 11, External: 55
2025-08-24 19:09:59,531 - Timestamp: 2025-08-24 19:10, Total: 155, Internal: 11, External: 55
2025-08-24 19:10:09,551 - Timestamp: 2025-08-24 19:10, Total: 155, Internal: 11, External: 55
